id,opened,closed,team
101,2026-02-02 09:15,2026-02-02 16:40,web
102,2026-02-02 11:00,2026-02-03 10:05,web
103,2026-02-02 14:30,2026-02-04 09:00,mobile
104,2026-02-03 08:45,2026-02-03 12:00,mobile
105,2026-02-03 09:10,,web
106,2026-02-03 15:55,2026-02-05 11:30,web
107,2026-02-04 10:00,2026-02-04 10:20,mobile
108,2026-02-04 13:05,2026-02-06 09:45,web
109,2026-02-05 08:00,2026-02-05 17:10,web
110,2026-02-05 12:30,,mobile
111,2026-02-05 16:00,2026-02-06 08:15,web
112,2026-02-06 09:00,2026-02-06 15:00,mobile
